filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
brown (34).jpg,Make Up For Ever,Ultra HD,c98567,5.35,Make Up For Ever,Ultra HD,c78569,5.35,L'Oréal,True Match,bc6d4e,5.35
brown (35).jpg,Make Up For Ever,Ultra HD,e3b296,1.88,Make Up For Ever,Ultra HD,daad90,1.88,Make Up For Ever,Ultra HD,d4a689,1.88
brown (36).jpg,Maybelline,Fit Me,e4b38e,1.79,Make Up For Ever,Ultra HD,e3b391,1.79,L'Oréal,Infalliable,e5ad8b,1.79
brown (37).jpg,L'Oréal,True Match,eabea1,1.07,L'Oréal,True Match,eebfa3,1.07,Maybelline,Fit Me,eabda6,1.07
brown (38).jpg,Maybelline,Fit Me,84583f,2.95,Make Up For Ever,Ultra HD,8e5642,2.95,Make Up For Ever,Ultra HD,9c624a,2.95
brown (39).jpg,L'Oréal,True Match,b07555,4.9,MAC,Studio Fix,b5855a,4.9,MAC,Studio Fix,ae7a50,4.9
brown (4).jpg,MAC,Studio Fix,ae7a50,4.13,MAC,Studio Fix,b27949,4.13,MAC,Studio Fix,a77246,4.13
brown (40).jpg,L'Oréal,True Match,b07555,3.34,MAC,Studio Fix,a9734e,3.34,MAC,Studio Fix,ae7a50,3.34
brown (41).jpg,Maybelline,Fit Me,9d6f48,4.65,Maybelline,Fit Me,9c744f,4.65,MAC,Studio Fix,a0714d,4.65
brown (42).jpg,Maybelline,Fit Me,84583f,2.16,Make Up For Ever,Ultra HD,8e5642,2.16,MAC,Studio Fix,724a32,2.16
brown (43).jpg,Maybelline,Fit Me,a86d40,5.0,L'Oréal,True Match,bc6d4e,5.0,Maybelline,Fit Me,c07746,5.0
brown (44).jpg,Make Up For Ever,Ultra HD,996754,5.02,Maybelline,Fit Me,84583f,5.02,Maybelline,Fit Me,7d5c4d,5.02
brown (45).jpg,Maybelline,Fit Me,d99358,7.18,NARS,Velvet Matte,dd9e6d,7.18,MAC,Studio Fix,d5844b,7.18
brown (46).jpg,L'Oréal,Infalliable,d49e6c,4.12,L'Oréal,Infalliable,daa271,4.12,L'Oréal,Infalliable,da9e6b,4.12
brown (47).jpg,Maybelline,Fit Me,f0b996,2.61,Maybelline,Fit Me Matte,efb793,2.61,L'Oréal,Infalliable,e5ad8b,2.61
brown (48).jpg,L'Oréal,True Match,b07555,4.15,Make Up For Ever,Ultra HD,c98567,4.15,Make Up For Ever,Ultra HD,c78569,4.15
brown (49).jpg,L'Oréal,True Match,b07555,2.5,MAC,Studio Fix,a9734e,2.5,Make Up For Ever,Ultra HD,b17862,2.5
brown (5).jpg,NARS,Velvet Matte,dd9e6d,8.56,Maybelline,Fit Me Matte,d69c74,8.56,NARS,Velvet Matte,dfa575,8.56
brown (50).jpg,Make Up For Ever,Ultra HD,be8470,2.93,Make Up For Ever,Ultra HD,c78569,2.93,Make Up For Ever,Ultra HD,b68069,2.93
brown (51).jpg,Make Up For Ever,Ultra HD,ebcab0,1.49,Make Up For Ever,Ultra HD,f2ccb7,1.49,L'Oréal,True Match,f0cbb9,1.49
brown (52).jpg,L'Oréal,True Match,eebfa3,2.32,Maybelline,Fit Me,eabda6,2.32,Maybelline,Fit Me Matte,e7b9a2,2.32
brown (53).jpg,Maybelline,Fit Me,84583f,3.42,Make Up For Ever,Ultra HD,9c624a,3.42,Make Up For Ever,Ultra HD,8e5642,3.42
brown (54).jpg,L'Oréal,Infalliable,deb09e,2.74,L'Oréal,True Match,dcb29a,2.74,Make Up For Ever,Ultra HD,dcb59c,2.74
brown (55).jpg,Make Up For Ever,Ultra HD,daad90,2.33,Make Up For Ever,Ultra HD,d4a689,2.33,Make Up For Ever,Ultra HD,e3b296,2.33
brown (56).jpg,Make Up For Ever,Ultra HD,895852,2.8,Make Up For Ever,Ultra HD,784a42,2.8,Make Up For Ever,Ultra HD,8e5642,2.8
brown (57).jpg,Make Up For Ever,Ultra HD,d19578,3.25,Maybelline,Fit Me Matte,d69c74,3.25,Make Up For Ever,Ultra HD,c78569,3.25
brown (58).jpg,Maybelline,Fit Me,bd9584,1.0,Maybelline,Fit Me,c7967d,1.0,Make Up For Ever,Ultra HD,c99980,1.0
brown (59).jpg,Make Up For Ever,Ultra HD,c98567,4.64,MAC,Studio Fix,b9855a,4.64,Make Up For Ever,Ultra HD,c78569,4.64
brown (6).jpg,Maybelline,Fit Me,9c744f,5.83,Maybelline,Fit Me,9d7359,5.83,MAC,Studio Fix,a0714d,5.83
brown (60).jpg,L'Oréal,Infalliable,cf9c7d,1.84,Make Up For Ever,Ultra HD,c7977b,1.84,Maybelline,Fit Me,d09e7c,1.84
brown (61).jpg,Maybelline,Fit Me,9d7359,5.14,Maybelline,Fit Me,84583f,5.14,Make Up For Ever,Ultra HD,996754,5.14
brown (62).jpg,Make Up For Ever,Ultra HD,b68069,3.18,Make Up For Ever,Ultra HD,b17862,3.18,L'Oréal,True Match,b07555,3.18
brown (63).jpg,Maybelline,Fit Me,e3b082,3.34,NARS,Velvet Matte,e6b685,3.34,MAC,Studio Fix,d0a97b,3.34
brown (64).jpg,Make Up For Ever,Ultra HD,895852,5.04,Maybelline,Fit Me,7d5c4d,5.04,Make Up For Ever,Ultra HD,784a42,5.04
brown (65).jpg,Make Up For Ever,Ultra HD,be8470,5.04,Make Up For Ever,Ultra HD,d59682,5.04,Maybelline,Fit Me,c7967d,5.04
brown (66).jpg,Maybelline,Fit Me,84583f,5.44,MAC,Studio Fix,a0714d,5.44,Make Up For Ever,Ultra HD,9c624a,5.44
brown (67).jpg,Make Up For Ever,Ultra HD,dca795,3.62,L'Oréal,Infalliable,d1a396,3.62,L'Oréal,Infalliable,deb09e,3.62
brown (68).jpg,Maybelline,Fit Me,84583f,3.11,Make Up For Ever,Ultra HD,8e5642,3.11,Maybelline,Fit Me,7d5c4d,3.11
brown (69).jpg,L'Oréal,True Match,eebfa3,4.38,Make Up For Ever,Ultra HD,e3b296,4.38,Maybelline,Fit Me,f0b996,4.38
brown (7).jpg,L'Oréal,Infalliable,e5ad8b,1.21,Make Up For Ever,Ultra HD,e7b391,1.21,Maybelline,Fit Me,e4b38e,1.21
brown (70).jpg,L'Oréal,Infalliable,e7ad82,7.28,L'Oréal,Infalliable,e5ad8b,7.28,NARS,Velvet Matte,e4aa7c,7.28
brown (71).jpg,Maybelline,Fit Me Matte,e7b9a2,2.41,L'Oréal,Infalliable,deb09e,2.41,Maybelline,Fit Me,eabda6,2.41
brown (72).jpg,L'Oréal,Infalliable,e5ad8b,5.84,Make Up For Ever,Ultra HD,d69b81,5.84,Make Up For Ever,Ultra HD,d79e89,5.84
brown (73).jpg,Maybelline,Fit Me,e2b597,1.03,Make Up For Ever,Ultra HD,ddb395,1.03,L'Oréal,True Match,ddb496,1.03
brown (74).jpg,Make Up For Ever,Ultra HD,b17862,3.77,Make Up For Ever,Ultra HD,b68069,3.77,L'Oréal,True Match,b07555,3.77
brown (75).jpg,L'Oréal,Infalliable,e5ad8b,3.64,L'Oréal,Infalliable,e7ad82,3.64,Maybelline,Fit Me Matte,efb793,3.64
brown (76).jpg,Maybelline,Fit Me,c7967d,1.04,Make Up For Ever,Ultra HD,c99980,1.04,Make Up For Ever,Ultra HD,c7977b,1.04
brown (77).jpg,Make Up For Ever,Ultra HD,9c624a,2.5,Make Up For Ever,Ultra HD,8e5642,2.5,Make Up For Ever,Ultra HD,996754,2.5
brown (78).jpg,Make Up For Ever,Ultra HD,d79e89,2.38,Make Up For Ever,Ultra HD,c99980,2.38,Maybelline,Fit Me,c7967d,2.38
brown (79).jpg,L'Oréal,Infalliable,deb09e,3.03,L'Oréal,True Match,dcb29a,3.03,Make Up For Ever,Ultra HD,dca795,3.03
brown (8).jpg,Maybelline,Fit Me,c7967d,3.0,Make Up For Ever,Ultra HD,c99980,3.0,Maybelline,Fit Me,bd9584,3.0
brown (80).jpg,Make Up For Ever,Ultra HD,d69b81,8.68,L'Oréal,Infalliable,e5ad8b,8.68,Make Up For Ever,Ultra HD,d59682,8.68
brown (81).jpg,L'Oréal,True Match,eebfa3,2.45,Maybelline,Fit Me,eabda6,2.45,Maybelline,Fit Me Matte,e7b9a2,2.45
brown (82).jpg,Make Up For Ever,Ultra HD,8e5642,3.0,Maybelline,Fit Me,84583f,3.0,MAC,Studio Fix,724a32,3.0
brown (83).jpg,Make Up For Ever,Ultra HD,8e5642,6.29,Make Up For Ever,Ultra HD,9c624a,6.29,L'Oréal,Infalliable,754728,6.29
