Filename,Hex,R,G,B,L,A,B_lab
brown (88).jpg,#CF9D84,207,157,132,176,143,148
brown (89).jpg,#B28F7B,178,143,123,159,138,144
brown (90).jpg,#D69E8F,214,158,143,179,147,144
brown (91).jpg,#C17C5C,193,124,92,149,151,156
brown (92).jpg,#DAA56B,218,165,107,182,141,166
brown (93).jpg,#C08C76,192,140,118,160,145,147
brown (94).jpg,#C28F74,194,143,116,162,144,150
brown (95).jpg,#A07457,160,116,87,134,142,151
brown (96).jpg,#BA836E,186,131,110,152,146,148
brown (97).jpg,#D38876,211,136,118,163,155,149
brown (98).jpg,#B58362,181,131,98,150,143,153
brown (99).jpg,#C48059,196,128,89,153,150,160
brown (100).jpg,#BD7953,189,121,83,146,151,160
brown (101).jpg,#AE7A55,174,122,85,142,144,156
brown (102).jpg,#A46950,164,105,80,128,149,152
brown (103).jpg,#B89574,184,149,116,164,137,150
brown (104).jpg,#C6977B,198,151,123,169,142,150
brown (105).jpg,#A9705F,169,112,95,135,148,147
brown (106).jpg,#C28863,194,136,99,157,146,157
brown (107).jpg,#B8785C,184,120,92,144,150,154
brown (108).jpg,#C07F60,192,127,96,151,150,155
brown (109).jpg,#B47B50,180,123,80,144,145,160
brown (110).jpg,#AA6E45,170,110,69,133,147,161
brown (111).jpg,#A2634B,162,99,75,124,151,152
brown (112).jpg,#9A6449,154,100,73,121,147,152
brown (113).jpg,#AE8B6E,174,139,110,154,137,149
brown (114).jpg,#CE8667,206,134,103,160,152,156
brown (115).jpg,#D1A38A,209,163,138,180,142,148
brown (116).jpg,#C6957E,198,149,126,168,143,147
brown (117).jpg,#D2A87B,210,168,123,183,137,157
brown (118).jpg,#BD7358,189,115,88,143,154,155
brown (119).jpg,#CE6B3A,206,107,58,143,163,172
brown (120).jpg,#BC8863,188,136,99,156,143,156
brown (121).jpg,#D08A68,208,138,104,163,151,157
brown (122).jpg,#C88163,200,129,99,155,152,155
brown (123).jpg,#B3765A,179,118,90,141,149,153
brown (124).jpg,#CA8F65,202,143,101,164,146,159
brown (125).jpg,#BD9466,189,148,102,164,137,158
